first_name,last_name,pdga_number,rating,year,class,gender,division_name,division_code,country,state_prov,tournaments,rating_rounds_used,points,prize,last_modified
Kevin,Jones,41760,1032,2018,P,Male,Open,MPO,United States,AR,41,75,29007,36660.67,2019-12-12
Richard,Wysocki,38008,1045,2018,P,Male,Open,MPO,United States,SC,26,77,28025,46414.79,2019-12-12
Kevin,Jones,41760,1037,2019,P,Male,Open,MPO,United States,AR,29,75,27645,30472,2021-01-26
Garrett,Gurthie,13864,1030,2019,P,Male,Open,MPO,United States,FL,35,84,27560,33073,2021-01-26
Paul,McBeth,27523,1051,2018,P,Male,Open,MPO,United States,CA,25,71,27407,57880,2019-12-12
Austin,Hannum,68835,1027,2019,P,Male,Open,MPO,United States,OK,32,90,27180,20961.5,2021-01-26
Garrett,Gurthie,13864,1023,2018,P,Male,Open,MPO,United States,FL,33,84,27030,23610.17,2019-12-12
Paul,Ulibarri,27171,1030,2018,P,Male,Open,MPO,United States,AZ,38,107,26452,31396.43,2019-12-12
Richard,Wysocki,38008,1050,2017,P,Male,Open,MPO,United States,SC,29,77,26355,79348.23,2019-12-12
Calvin,Heimburg,45971,1041,2019,P,Male,Open,MPO,United States,FL,30,65,26212,34948,2021-01-26
Richard,Wysocki,38008,1049,2016,P,Male,Open,MPO,United States,SC,25,77,26030,59223.89,2019-12-12
Drew,Gibson,48346,1024,2018,P,Male,Open,MPO,United States,CA,31,60,25855,21406,2019-12-12
Paul,McBeth,27523,1060,2019,P,Male,Open,MPO,United States,CA,23,71,25675,57273.25,2021-01-26
James,Conrad,17295,1037,2019,P,Male,Open,MPO,United States,VA,27,69,25540,37340,2021-01-26
Joel,Freeman,69509,1029,2019,P,Male,Open,MPO,United States,CO,32,53,25522,24049,2021-01-26
Simon,Lizotte,8332,1040,2019,P,Male,Open,MPO,United States,MA,26,41,25477,26132,2021-01-26
James,Conrad,17295,1034,2018,P,Male,Open,MPO,United States,VA,26,69,24990,30173.5,2019-12-12
Austin,Hannum,68835,1016,2018,P,Male,Open,MPO,United States,OK,39,90,24930,16979,2019-12-12
Chris,Clemons,50401,1026,2019,P,Male,Open,MPO,United States,MO,27,80,24790,19523.5,2021-01-26
Andrew,Presnell,63765,1025,2019,P,Male,Open,MPO,United States,MO,38,111,24630,20222,2021-01-26
Philo,Brathwaite,26416,1020,2018,P,Male,Open,MPO,United States,CA,28,61,24310,17577.52,2019-12-12
Alex,Russell,66362,1028,2019,P,Male,Open,MPO,United States,WA,30,71,24215,20454.5,2021-01-26
Nathan,Queen,68286,1022,2019,P,Male,Open,MPO,United States,NC,40,105,24077,18650,2021-01-26
Nikko,Locastro,11534,1040,2010,P,Male,Open,MPO,United States,MO,39,84,23842,46756.66,2018-05-15
Eric,Oakley,53565,1017,2019,P,Male,Open,MPO,United States,FL,25,64,23750,14509,2021-01-26
Jeremy,Koling,33705,1026,2017,P,Male,Open,MPO,United States,NC,33,79,23715,24605.16,2019-12-12
Jeremy,Koling,33705,1021,2018,P,Male,Open,MPO,United States,NC,27,79,23715,16947.94,2019-12-12
Paul,McBeth,27523,1052,2017,P,Male,Open,MPO,United States,CA,25,71,23657,69411.25,2019-12-12
Richard,Wysocki,38008,1049,2019,P,Male,Open,MPO,United States,SC,22,77,23612,40581,2021-01-26
Paul,Ulibarri,27171,1022,2017,P,Male,Open,MPO,United States,AZ,40,107,23445,27390,2019-12-12
Eagle Wynne,McMahon,37817,1049,2019,P,Male,Open,MPO,United States,CO,27,48,23397,40431,2021-01-26
Gregg,Barsby,15857,1028,2018,P,Male,Open,MPO,United States,CA,30,64,23105,29730,2019-12-12
Eagle Wynne,McMahon,37817,1046,2018,P,Male,Open,MPO,United States,CO,23,48,23020,47119.3,2019-12-12
Nate,Perkins,65737,1021,2019,P,Male,Open,MPO,United States,TX,25,75,22955,12338,2021-01-26
Paul,Ulibarri,27171,1021,2015,P,Male,Open,MPO,United States,AZ,42,107,22867,24284,2019-12-12
A.J.,Risley,25890,1016,2018,P,Male,Open,MPO,United States,CA,34,38,22820,14084.5,2019-12-12
Nikko,Locastro,11534,1029,2016,P,Male,Open,MPO,United States,MO,37,84,22527,29964.66,2019-12-12
Paul,Ulibarri,27171,1020,2016,P,Male,Open,MPO,United States,AZ,42,107,22265,28248.23,2019-12-12
Alex,Russell,66362,1014,2018,P,Male,Open,MPO,United States,WA,30,71,22247,12013.67,2019-12-12
Andrew,Marwede,75590,1021,2019,P,Male,Open,MPO,United States,MI,34,83,22210,18446,2021-01-26
Grady,Shue,68285,1014,2018,P,Male,Open,MPO,United States,NC,31,33,22190,16011.67,2019-12-12
Paul,McBeth,27523,1053,2015,P,Male,Open,MPO,United States,CA,26,71,22100,72044.7,2019-12-12
Adam,Hammes,57365,1027,2019,P,Male,Open,MPO,United States,WI,22,73,22015,16817.5,2021-01-26
Austin,Turner,54049,1016,2017,P,Male,Open,MPO,United States,NC,38,17,21960,21586.25,2019-12-12
Philo,Brathwaite,26416,1022,2019,P,Male,Open,MPO,United States,CA,28,61,21900,14237.54,2021-01-26
Reid,Frescura,48338,1013,2019,P,Male,Open,MPO,United States,MI,33,70,21897,14778,2021-01-26
Emerson,Keith,47472,1024,2019,P,Male,Open,MPO,United States,TX,52,99,21860,28692.5,2021-01-26
Luke,Humphries,69424,1011,2019,P,Male,Open,MPO,United States,KS,34,81,21785,13203.33,2021-01-26
Matt,Bell,48950,1021,2019,P,Male,Open,MPO,United States,CA,35,82,21745,20053.5,2021-01-26
Paul,McBeth,27523,1051,2016,P,Male,Open,MPO,United States,CA,20,71,21662,44051.52,2019-12-12
Nathan,Sexton,18824,1034,2018,P,Male,Open,MPO,United States,WA,18,33,21640,26569.92,2019-12-12
Philo,Brathwaite,26416,1024,2017,P,Male,Open,MPO,United States,CA,32,61,21585,20879.04,2019-12-12
DeVan,Owens,25168,1019,2018,P,Male,Open,MPO,United States,AZ,22,26,21517,12388.06,2019-12-12
Paul,Ulibarri,27171,1033,2011,P,Male,Open,MPO,United States,AZ,48,107,21477,28992.24,2018-05-15
Philo,Brathwaite,26416,1018,2016,P,Male,Open,MPO,United States,CA,31,61,21330,19525.41,2019-12-12
Zach,Melton,38631,1025,2018,P,Male,Open,MPO,United States,TN,40,77,21222,19748.08,2019-12-12
